cuisines,vegan,vegetarian
American,6.911919642857144,8.798045977011496
Chinese,8.564539007092195,69.42171764705894
Indian,6.11785714285714,7.44243727598558
Italian,6.5,22.35155913978494
Korean,13.311643835616438,10.333333333333334
Kosher,7.29262839879154,6.750592105263162
Mediterranean,5.872608695652173,13.496407506702395
Mexican,3.916999999999999,7.666050420168072
Middle Eastern,9.394736842105264,7.408882521489945
Thai,12.95,6.097560975609753
Vietnamese,6.687499999999995,7.750000000000001
