,id,address,categories,city,country,cuisines,latitude,longitude,priceRangeCurrency,priceRangeMin,priceRangeMax,province,dietary,is_vegan,is_vegetarian,is_both
1593,AV1c4UJua4HuVbed5qj4,41 Wilson Ave,"British (Modern),Vegetarian,Restaurants",Brooklyn,US,British,40.702908,-73.929092,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1603,AV8wUoZya4HuVbedF3K0,91 1st Ave,"Restaurant,Deli Food,Vegetarian,Indian",New York,US,Indian,40.726411,-73.986428,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1715,AWLDrFrYa4HuVbedPf7Y,1306 1st Ave,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.766884,-73.956663,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1742,AV8wURXJ3-Khe5l_YO1P,498 9th Ave,"Restaurant,Middle Eastern,Vegetarian",New York,US,Middle Eastern,40.755618,-73.994267,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1765,AV8wUU_53-Khe5l_YO3o,371 W 34th St,"Restaurant,Vegetarian,Indian",New York,US,Indian,40.753468,-73.995949,,,,NY,Vegetarian,FALSE,TRUE,FALSE
1831,AVwcuSIYkufWRAb5yUxB,235 Dekalb Ave,"New York City,Restaurant,Vegetarian,Indian",Brooklyn,US,Indian,40.68968,-73.96982,USD,12,18,NY,Vegetarian,FALSE,TRUE,FALSE
1851,AV0BJkuP-gnIPe8DUvYQ,311 W 43rd St,"Chinese Restaurant,Restaurant,Cocktails,Vegetarian,Dim Sum,Chinese,Dim Sum Restaurant",New York,US,Chinese,40.758343,-73.990152,USD,40,55,NY,Vegetarian,FALSE,TRUE,FALSE
2226,AV8wU3vyIxWefVJwrRJM,413 Amsterdam Ave,"Restaurant,Vegetarian,Indian",New York,US,Indian,40.783649,-73.977937,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2281,AVzpCHqC-gnIPe8DUJlP,208 1st Ave,"Pizza,Restaurant,Middle Eastern,Vegetarian,Restaurants",New York,US,Lebanese,40.73025,-73.983001,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2404,AVzoKWkq3D1zeR_xCaeW,106 Bayard St,"Restaurant,Vegetarian,Thai,Restaurants",New York,US,Thai,40.716338,-73.999867,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2406,AV8wUQH5IxWefVJwrQ-g,81 St Marks Pl,"Restaurant,Middle Eastern,Vegetarian",New York,US,Middle Eastern,40.727836,-73.985442,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2473,AVzA0t9LLD2H7whiWEcl,2 W 32nd St,"Restaurant,Vegetarian,Dumpling Restaurant,Beverages-Distributors and Bottlers,Korean,Korean Restaurant",New York,US,Korean,40.74712,-73.986213,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
2479,AV8wUMs0a4HuVbedF3A-,1185 6th Ave,"Restaurant,Vegetarian,Indian",New York,US,Indian,40.757872,-73.982544,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2494,AV8wURVe3-Khe5l_YO1L,7706 New Utrecht Ave,"Restaurant,Vegetarian,Chinese",Brooklyn,US,Chinese,40.614072,-74.000703,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2525,AV8wUVNba4HuVbedF3Fu,4461 11th St,"Restaurant,Local/Organic,Vegetarian,Coffee and Tea,Vegan",Long Island City,US,Unclassified,40.747986,-73.949532,,,,NY,Both,TRUE,TRUE,TRUE
2594,AVwd3hqiByjofQCxtMxV,5906 8th Ave,"Vietnamese Restaurant Sunset Park,Restaurant,Vietnamese Restaurant,Vegetarian,Vietnamese",Brooklyn,US,Vietnamese,40.636009,-74.009363,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
2602,AWLCz6SJa4HuVbedPf4I,321 W 49th St,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.761909,-73.987143,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2624,AWLBuuCZ3-Khe5l_h7wj,600 3rd Ave,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.749256,-73.97584,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2651,AVzA0-cV-gnIPe8DScJl,95 Greenwich Ave,"American (New),Restaurant,Local/Organic,Vegetarian,Caf",New York,US,American,40.737417,-74.00175,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
2687,AVzA151HFcQ3k02bBXyh,166 E 82nd St,"Mexican Restaurant,Restaurant,Mexican,Vegetarian",New York,US,Mexican,40.776571,-73.956908,USD,40,55,NY,Vegetarian,FALSE,TRUE,FALSE
2711,AV8wUlt43-Khe5l_YO8R,558 7th Ave,"Restaurant,Middle Eastern,Smoothies and Juices,Vegetarian",New York,US,Middle Eastern,40.754747,-73.987932,,,,NY,Vegetarian,FALSE,TRUE,FALSE
2731,AV8wUpf5IxWefVJwrRGR,11 W 56th St,"Restaurant,Local/Organic,Smoothies and Juices,Vegetarian,Healthy,Vegan",New York,US,Unclassified,40.762868,-73.975235,,,,NY,Both,TRUE,TRUE,TRUE
2752,AVweaf76_7pvs4fzCws8,460 Bergen St,"Restaurant,Local/Organic,Vegetarian / Vegan Restaurant,Smoothies and Juices,Vegetarian,Vegetarian Vegan Restaurant,Vegetarian / Vegan Restaurant North Slope,Kosher,Healthy,Vegan",Brooklyn,US,Kosher,40.68087,-73.976151,USD,25,40,NY,Both,TRUE,TRUE,TRUE
2931,AV8wUJYWIxWefVJwrQ56,512 Ave U,"Restaurant,Vegetarian,Sushi,Kosher,Japanese",Brooklyn,US,Japanese,40.597484,-73.966395,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3050,AVzA2LwfLD2H7whiWF6x,37 Kenmare St,"Restaurant,Japanese Restaurant,Vegetarian,Noodle House,Japanese,Noodles",New York,US,Japanese,40.72072,-73.995352,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
3100,AV8wUYd2a4HuVbedF3HF,171A Avenue A,"Restaurant,Mexican,Vegetarian",New York,US,Mexican,40.728276,-73.982026,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3109,AV8wUUQ_3-Khe5l_YO3E,124 2nd Ave,"Restaurant,Mexican,Vegetarian",New York,US,Mexican,40.728124,-73.987546,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3130,AVwc1YGZkufWRAb5zgwb,659 Washington Ave,"Restaurant,Sushi Restaurant,Vegetarian,Sushi,Japanese,Sushi Restaurant Prospect Heights",Brooklyn,US,Japanese,40.677572,-73.963703,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
3259,AV1TsGY4-gnIPe8DWqUE,102 Suffolk St,"Restaurant,Vegetarian,Japanese,Healthy",New York,US,Japanese,40.718602,-73.986183,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3294,AVzA2COQFcQ3k02bBX6E,318 E 6th St,"Indian Restaurant,Restaurant,Vegetarian,Indian",New York,US,Indian,40.726915,-73.987616,USD,40,55,NY,Vegetarian,FALSE,TRUE,FALSE
3333,AVwd4peYkufWRAb5-GVK,6917 5th Ave,"New York City,Restaurant,Middle Eastern,Vegetarian",Brooklyn,US,Middle Eastern,40.632868,-74.020995,USD,7,12,NY,Vegetarian,FALSE,TRUE,FALSE
3338,AWEIAFAq3-Khe5l_eG0V,28-28 Steinway St,"Mediterranean Restaurant,Middle Eastern,Vegetarian,Sandwiches",Astoria,US,Middle Eastern,40.764755,-73.914467,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
3348,AVwdZ4wNkufWRAb55jOI,5114 13th Ave,"Pizza,New York City,Restaurant,Vegetarian,Kosher",Brooklyn,US,Kosher,40.63373,-73.99339,USD,7,12,NY,Vegetarian,FALSE,TRUE,FALSE
3349,AV1Tq4vN-gnIPe8DWkl-,4514 13th Ave,"Pizza,Restaurant,Vegetarian,Kosher",Brooklyn,US,Kosher,40.637042,-73.990153,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3408,AVyoBVoNYuCoGd6wM5n4,946 Fulton St,"Restaurant,Vegetarian,African",Brooklyn,US,African,40.682689,-73.963097,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3421,AV8wUcz6IxWefVJwrRDR,93 1st Ave,"Restaurant,Vegetarian,Indian",New York,US,Indian,40.726323,-73.986601,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3459,AV5aKKwe3-Khe5l_Vk3W,342 E 6th St,"Asian Restaurants,Restaurant,Vietnamese Restaurants,Vegetarian,Take Out Restaurants,Vietnamese,Restaurants,Vegan",New York,US,Vietnamese,40.726478,-73.986611,,,,NY,Both,TRUE,TRUE,TRUE
3515,AVzA1LDg3D1zeR_xA_om,108 Lexington Ave,"Restaurant,Indian Restaurant,Vegetarian,Indian",New York,US,Indian,40.742376,-73.982835,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
3569,AVzA1JwXFcQ3k02bBXEW,156 5th Ave,"Restaurant,Bar,Vegetarian / Vegan Restaurant,Vegetarian,Eclectic and International,Kosher,Vegan",Brooklyn,US,Kosher,40.678066,-73.97949,USD,25,40,NY,Both,TRUE,TRUE,TRUE
3640,AVzF5SACLD2H7whiWYK1,180 Spring St,"Restaurant,French,Vegetarian,Bistro,French Restaurant",New York,US,French,40.724755,-74.002619,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3723,AVzo3faDLD2H7whiXstN,3 E 52nd St,"Restaurant,French,Vegetarian,French Restaurant,Restaurants",New York,US,French,40.759623,-73.975889,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3739,AV8wUpP1IxWefVJwrRGL,342 E 6th St,"Restaurant,Vegetarian,Indian",New York,US,Indian,40.72648,-73.986668,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3757,AV0GiKKEFcQ3k02bDmuF,225 Park Ave S,"Restaurant,Italian Restaurant,Italian,Vegetarian",New York,US,Italian,40.737133,-73.98795,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3768,AWNS6lcZRxPSIh2RunLy,7227 37th Ave,"Restaurant,Vegetarian,Indian,Desserts",Jackson Heights,US,Indian,40.74902,-73.892998,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3840,AV8wU3QDa4HuVbedF3O9,196a Stanton St,"Restaurant,Vegetarian,Healthy",New York,US,Unclassified,40.719994,-73.982916,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3843,AV8wUOQIa4HuVbedF3Bv,112 Smith St,"Restaurant,Asian Fusion,Vegan",Brooklyn,US,Asian,40.687915,-73.989956,,,,NY,Vegan,TRUE,FALSE,FALSE
3923,AVwd-K03IN2L1WUf02Fn,1596 3rd Ave,"Restaurant,Ramen Restaurant,Vegetarian,Noodle House,Ramen Restaurant and Noodle House Upper East Side,Noodle House Yorkville,Japanese,Noodles,Ramen Restaurant and Noodle House",New York,US,Japanese,40.781187,-73.952594,USD,25,40,NY,Vegetarian,FALSE,TRUE,FALSE
3969,AWK84wfs3-Khe5l_h6nj,90 Broad St,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.703754,-74.011626,,,,NY,Vegetarian,FALSE,TRUE,FALSE
3996,AWLCSpwqa4HuVbedPf1s,53 E 8th St,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.731107,-73.993617,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4028,AV8wUMW0RxPSIh2Rls5R,252 7th Ave,"Restaurant,Vegetarian,Salads",Brooklyn,US,Salads,40.669487,-73.979622,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4060,AVweZHSikufWRAb5CgtN,1376 Lexington Ave,"Pizza,Falafel Restaurant,Restaurant,Middle Eastern,Vegetarian,Salads,Pizza Place,Kosher",New York,US,Middle Eastern,40.782644,-73.953488,USD,0,25,NY,Vegetarian,FALSE,TRUE,FALSE
4132,AWLCUI4H3-Khe5l_h7xW,1471 3rd Ave,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.776886,-73.955124,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4152,AWLBw7WQ3-Khe5l_h7wq,30 Rockefeller Plz,"Restaurant,Vegetarian,Salads",New York,US,Salads,40.758761,-73.978701,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4187,AV8wURBz3-Khe5l_YO1B,1395 Lexington Ave,"Mediterranean,Restaurant,Vegetarian,Coffee and Tea,Kosher",New York,US,General Mediterranean,40.782752,-73.952907,,,,NY,Vegetarian,FALSE,TRUE,FALSE
4217,AVyirtpcYuCoGd6wM27r,19 Kenmare St,"Restaurant,Vegetarian / Vegan Restaurant,Smoothies and Juices,Vegetarian,Coffee and Tea,Caf,Juice Bar,Healthy,Vegan",New York,US,Unclassified,40.720654,-73.994736,USD,25,40,NY,Both,TRUE,TRUE,TRUE
